date,status,appeal,address,ward
09/10/19,APPROVED,BOA-927665,119 Barnes Avenue,Ward 1
09/10/19,APPROVED,BOA-954309,72 Bunker Hill Street,Ward 2
09/10/19,APPROVED,BOA-948372,111 Gallivan Boulevard,Ward 17
09/10/19,APPROVED,BOA-952913,112 King Street,Ward 16
09/10/19,APPROVED,BOA-883295,2 Ludlow Street,Ward 2
09/10/19,APPROVED,BOA-949922,44 Marmion Street,Ward 11
09/10/19,APPROVED,BOA-949923,46 Marmion Street,Ward 11
09/10/19,APPROVED,BOA-854011,11 Minot Street,Ward 11
09/10/19,APPROVED,BOA-968359,285 Marlborough Street,Ward 5
09/10/19,APPROVED,BOA-966333,131 Navarre Street,Ward 18
09/10/19,APPROVED,BOA-896890,142-144 Old Colony Avenue,Ward 7
09/10/19,APPROVED,BOA-942388,376 Riverway,Ward 10
09/10/19,APPROVED,BOA-942360,1-3 Sewall Street,Ward 10
09/10/19,APPROVED,BOA-942355,1472 Tremont Street,Ward 10
09/10/19,APPROVED,BOA-942356,1474 Tremont Street,Ward 10
09/10/19,APPROVED,BOA-918753,76 Wordsworth Street,Ward 1
09/10/19,APPROVED,BOA-937511,119 West Newton Street,Ward 4
09/10/19,APPROVED,BOA-937959,45 West Newton Street,Ward 9
09/10/19,APPROVED,BOA-965196,1767 Washington Street,Ward 9
09/10/19,APPROVED,BOA-957167,150 West Broadway,Ward 6
09/10/19,DENIED,BOA-944017,24-26 Stella Road,Ward 18
09/10/19,DENIED,BOA-944020,28-30 Stella Road,Ward 18
09/10/19,DENIED,BOA-944022,32-34 Stella Road,Ward 18
09/10/19,DENIED,BOA-944023,36-38 Stella Road,Ward 18
08/27/19,APPROVED,BOA-947317,37 Alleyne Street,Ward 20
08/27/19,APPROVED,BOA-955490,35 Albano Street,Ward 18
08/27/19,APPROVED,BOA-827500,72 Burbank Street,Ward 4
08/27/19,APPROVED,BOA-854009,15 Bancroft Street,Ward 11
08/27/19,APPROVED,BOA-963269,39 Carruth Street,Ward 16
08/27/19,APPROVED,BOA-952056,69 Cummins Highway,Ward 19
08/27/19,APPROVED,BOA-946259,30 Cumberland Street,Ward 4
08/27/19,APPROVED,BOA-936751,42A Como Road,Ward 18
08/27/19,APPROVED,BOA-954606,212 Dorchester Street,Ward 7
08/27/19,APPROVED,BOA-950489,43 Elmont Street,Ward 14
08/27/19,APPROVED,BOA-967989,753 East Broadway,Ward 6
08/27/19,APPROVED,BOA-932856,561 East Sixth Street,Ward 7
08/27/19,APPROVED,BOA-945644,540 East Seventh Street,Ward 7
08/27/19,APPROVED,BOA-946101,24-26 Falcon Street,Ward 1
08/27/19,APPROVED,BOA-810886,61 Hollander Street,Ward 12
08/27/19,APPROVED,BOA-951273,19 Iona Street,Ward 20
08/27/19,APPROVED,BOA-810868,9 Johnny Court,Ward 3
08/27/19,APPROVED,BOA-892908,80 Minot Street,Ward 16
08/27/19,APPROVED,BOA-892915,82 Minot Street,Ward 16
08/27/19,APPROVED,BOA-917714,18 Meadowbank Avenue,Ward 18
08/27/19,APPROVED,BOA-907414,2-10 Maverick Square,Ward 1
08/27/19,APPROVED,BOA-921796,775 Morton Street,Ward 14
08/27/19,APPROVED,BOA-948242,666 Metropolitan Avenue,Ward 18
08/27/19,APPROVED,BOA-927851,298 Marlborough Street,Ward 5
08/27/19,APPROVED,BOA-948820,31 Milford Street,Ward 3
08/27/19,APPROVED,BOA-935830,160 O Street,Ward 6
08/27/19,APPROVED,BOA-954988,551 Park Street,Ward 17
08/27/19,APPROVED,BOA-955187,92 Redlands Road,Ward 20
08/27/19,APPROVED,BOA-950137,9 Rockwood Street,Ward 19
08/27/19,APPROVED,BOA-923906,238 Saratoga Street,Ward 1
08/27/19,APPROVED,BOA-851179,79 School Street,Ward 2
08/27/19,APPROVED,BOA-948357,303 Silver Street,Ward 6
08/27/19,APPROVED,BOA-941149,60 Taunton Avenue,Ward 18
08/27/19,APPROVED,BOA-936610,85-87 Willowwood Street,Ward 14
08/27/19,APPROVED,BOA-947274,301-305 West Broadway,Ward 6
08/27/19,APPROVED,BOA-933435,92-94 West Eighth Street,Ward 6
08/27/19,APPROVED,BOA-964002,121 Warren Avenue,Ward 18
08/27/19,APPROVED,BOA-947492,9 Wilna Court,Ward 20
08/27/19,APPROVED,BOA-967741,154 Westmoor Road,Ward 20
08/27/19,DENIED,BOA-959599,252-262 Harrison Avenue,Ward 3
08/27/19,DENIED,BOA-963075,9 Mount Everett Street,Ward 15
08/27/19,DENIED,BOA-926056,202 Savin Hill Avenue,Ward 13
08/27/19,DENIED,BOA-926064,200 Savin Hill Avenue,Ward 13
08/13/19,APPROVED,BOA-793903,24 Arcadia Park,Ward 15
08/13/19,APPROVED,BOA-937775,596-598 Beech Street,Ward 18
08/13/19,APPROVED,BOA-938912,164 Boston Street,Ward 7
08/13/19,APPROVED,BOA-941395,33-35 Bowdoin Street,Ward 3
08/13/19,APPROVED,BOA-932852,375 Bremen Street,Ward 1
08/13/19,APPROVED,BOA-964173,11HF Claremont Park,Ward 4
08/13/19,APPROVED,BOA-914212,79 Devon Street,Ward 14
08/13/19,APPROVED,BOA-937967,46 Eutaw Street,Ward 1
08/13/19,APPROVED,BOA-920011,74 Everett Street,Ward 1
08/13/19,APPROVED,BOA-927541,67 Forest Hills Street,Ward 11
08/13/19,APPROVED,BOA-734154,14 Gleason Street,Ward 14
08/13/19,APPROVED,BOA-946580,1 Merrimac Street,Ward 3
08/13/19,APPROVED,BOA-932408,20-22 Monument Street,Ward 2
08/13/19,APPROVED,BOA-942964,3 Morton Place,Ward 1
08/13/19,APPROVED,BOA-943635,294 Northern Avenue,Ward 6
08/13/19,APPROVED,BOA-942244,36R Parkman Street,Ward 16
08/13/19,APPROVED,BOA-944701,76 Quint Avenue,Ward 21
08/13/19,APPROVED,BOA-951803,41 Rexford Street,Ward 18
08/13/19,APPROVED,BOA-934883,272 Sumner Street,Ward 1
08/13/19,APPROVED,BOA-914435,481 Sumner Street,Ward 1
08/13/19,APPROVED,BOA-952994,704 Saratoga Street,Ward 1
08/13/19,APPROVED,BOA-948984,501-507 Western Avenue,Ward 22
08/13/19,APPROVED,BOA-941497,88 Wallingford Road,Ward 21
08/13/19,APPROVED,BOA-945159,4228-4230 Washington Street,Ward 19
08/13/19,DENIED,BOA-908278,667 Beech Street,Ward 18
08/13/19,DENIED,BOA-904399,37-39 Royal Street,Ward 22
08/13/19,DENIED,BOA-953863,205 Webster Street,Ward 1
07/30/19,APPROVED,BOA-947380,324-330 Bunker Hill Avenue,Ward 2
07/30/19,APPROVED,BOA-955542,194 Bellevue Street,Ward 20
07/30/19,APPROVED,BOA-921523,353 Baker Street,Ward 20
07/30/19,APPROVED,BOA-941174,7 Bryant Road,Ward 20
07/30/19,APPROVED,BOA-927273,133 Beacon Street,Ward 5
07/30/19,APPROVED,BOA-923297,24 Bellamy Street,Ward 22
07/30/19,APPROVED,BOA-934366,16 Cerdan Avenue,Ward 20
07/30/19,APPROVED,BOA-950630,82 Cummins Highway,Ward 19
07/30/19,APPROVED,BOA-940480,8 Cypress Street,Ward 20
07/30/19,APPROVED,BOA-952207,6 Cedarcrest Lane,Ward 20
07/30/19,APPROVED,BOA-935781,33-59 Congress Street,Ward 3
07/30/19,APPROVED,BOA-908555,290 Commercial Street,Ward 3
07/30/19,APPROVED,BOA-951806,83 Centre Street,Ward 17
07/30/19,APPROVED,BOA-928966,17 Chestnut Avenue,Ward 10
07/30/19,APPROVED,BOA-902135,3 Dorset Street,Ward 7
07/30/19,APPROVED,BOA-936456,258-262 Dudley Street,Ward 8
07/30/19,APPROVED,BOA-928023,326 Dorchester Street,Ward 7
07/30/19,APPROVED,BOA-929699,744-748 Dudley Street,Ward 7
07/30/19,APPROVED,BOA-926108,27 Dwight Street,Ward 3
07/30/19,APPROVED,BOA-954611,722 East Fourth Street,Ward 6
07/30/19,APPROVED,BOA-935393,741 East Broadway,Ward 6
07/30/19,APPROVED,BOA-942121,335A-335 E Street,Ward 6
07/30/19,APPROVED,BOA-892543,616-618 East Eighth Street,Ward 7
07/30/19,APPROVED,BOA-821302,22 Edison Green,Ward 13
07/30/19,APPROVED,BOA-810158,25 Everett Street,Ward 1
07/30/19,APPROVED,BOA-931471,47 Emerson Street,Ward 6
07/30/19,APPROVED,BOA-939687,21 Edna Road,Ward 16
07/30/19,APPROVED,BOA-928030,20 Follen Street,Ward 4
07/30/19,APPROVED,BOA-874938,197-201 Green Street,Ward 11
07/30/19,APPROVED,BOA-962845,38 Green Street,Ward 2
07/30/19,APPROVED,BOA-915460,71-73 Gainsborough Street,Ward 4
07/30/19,APPROVED,BOA-906215,41 Gladstone Street,Ward 1
07/30/19,APPROVED,BOA-921284,77-83 Hancock Street,Ward 15
07/30/19,APPROVED,BOA-900554,216 Havre Street,Ward 1
07/30/19,APPROVED,BOA-938001,4-8 Lakeside Avenue,Ward 18
07/30/19,APPROVED,BOA-953013,184 Milton Street,Ward 16
07/30/19,APPROVED,BOA-821297,10 Midland Street,Ward 13
07/30/19,APPROVED,BOA-923819,1 Maple Street,Ward 12
07/30/19,APPROVED,BOA-923818,1 Maple Street,Ward 12
07/30/19,APPROVED,BOA-943624,118 Marcella Street,Ward 11
07/30/19,APPROVED,BOA-882063,181-183 North Washington Street,Ward 3
07/30/19,APPROVED,BOA-932467,85 Pinckney Street,Ward 5
07/30/19,APPROVED,BOA-937986,50 Putnam Street,Ward 1
07/30/19,APPROVED,BOA-927969,1 Peabody Square,Ward 16
07/30/19,APPROVED,BOA-955733,95 Prescott Street,Ward 1
07/30/19,APPROVED,BOA-929574,49 Rogers Street,Ward 7
07/30/19,APPROVED,BOA-852419,48-50 Salem Street,Ward 3
07/30/19,APPROVED,BOA-945127,164-170 Sumner Street,Ward 1
07/30/19,APPROVED,BOA-942790,2 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942791,3 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942793,4 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942794,5 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942795,6 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942799,9 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942806,10 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942809,12 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942808,11 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942811,13 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942812,14 Starling Street,Ward 20
